datetime,hydro_actual,avg_hydro_production_forecast
2020-01-01T00:00:00.000000000,3697.0,3251.44469
2020-01-01T01:00:00.000000000,2691.0,2387.5311
2020-01-01T02:00:00.000000000,1753.0,1521.421
2020-01-01T03:00:00.000000000,964.0,1188.62301
2020-01-01T04:00:00.000000000,933.0,1152.60932
2020-01-01T05:00:00.000000000,696.0,1088.55863
2020-01-01T06:00:00.000000000,489.0,977.62696
2020-01-01T07:00:00.000000000,503.0,702.10531
2020-01-01T08:00:00.000000000,492.0,729.63398
2020-01-01T09:00:00.000000000,581.0,1155.77598
2020-01-01T10:00:00.000000000,1020.0,2078.50588
2020-01-01T11:00:00.000000000,1136.0,2871.51278
2020-01-01T12:00:00.000000000,1502.0,3187.13873
2020-01-01T13:00:00.000000000,1782.0,2733.8971
2020-01-01T14:00:00.000000000,1810.0,2076.92591
2020-01-01T15:00:00.000000000,1847.0,1624.41187
2020-01-01T16:00:00.000000000,1236.0,1342.23466
2020-01-01T17:00:00.000000000,1108.0,1209.10383
2020-01-01T18:00:00.000000000,1089.0,1254.68962
2020-01-01T19:00:00.000000000,1138.0,1408.04419
2020-01-01T20:00:00.000000000,1125.0,1740.33401
2020-01-01T21:00:00.000000000,1179.0,2352.52662
2020-01-01T22:00:00.000000000,1882.0,3139.69754
2020-01-01T23:00:00.000000000,3361.0,3728.49214
2020-01-02T00:00:00.000000000,3863.0,2625.55467
2020-01-02T01:00:00.000000000,3136.0,2166.08607
2020-01-02T02:00:00.000000000,2238.0,1623.41598
2020-01-02T03:00:00.000000000,1662.0,1429.04479
2020-01-02T04:00:00.000000000,1146.0,1374.44844
2020-01-02T05:00:00.000000000,920.0,1261.62847
2020-01-02T06:00:00.000000000,757.0,952.78493
2020-01-02T07:00:00.000000000,711.0,722.72854
2020-01-02T08:00:00.000000000,729.0,869.71838
2020-01-02T09:00:00.000000000,766.0,1333.07017
2020-01-02T10:00:00.000000000,954.0,1969.2673
2020-01-02T11:00:00.000000000,4108.0,2562.98512
2020-01-02T12:00:00.000000000,5089.0,2749.56988
2020-01-02T13:00:00.000000000,2910.0,2476.28345
2020-01-02T14:00:00.000000000,2052.0,2323.86529
2020-01-02T15:00:00.000000000,1186.0,2017.81896
2020-01-02T16:00:00.000000000,1143.0,1902.75281
2020-01-02T17:00:00.000000000,1133.0,1762.33832
2020-01-02T18:00:00.000000000,1156.0,1511.17378
2020-01-02T19:00:00.000000000,1182.0,1178.13182
2020-01-02T20:00:00.000000000,1305.0,1161.39374
2020-01-02T21:00:00.000000000,1714.0,1576.37529
2020-01-02T22:00:00.000000000,3311.0,2197.18787
2020-01-02T23:00:00.000000000,3798.0,2609.60367
2020-01-03T00:00:00.000000000,3012.0,2249.60916
2020-01-03T01:00:00.000000000,2458.0,2148.84693
2020-01-03T02:00:00.000000000,1549.0,1889.36707
2020-01-03T03:00:00.000000000,995.0,1712.30684
2020-01-03T04:00:00.000000000,974.0,1601.18362
2020-01-03T05:00:00.000000000,771.0,1522.88009
2020-01-03T06:00:00.000000000,852.0,1436.37532
2020-01-03T07:00:00.000000000,815.0,1334.67619
2020-01-03T08:00:00.000000000,787.0,1298.01602
2020-01-03T09:00:00.000000000,856.0,1358.84836
2020-01-03T10:00:00.000000000,943.0,1602.00085
2020-01-03T11:00:00.000000000,2512.0,1987.06989
2020-01-03T12:00:00.000000000,3805.0,2175.55332
2020-01-03T13:00:00.000000000,3927.0,2063.29219
2020-01-03T14:00:00.000000000,3154.0,2014.62456
2020-01-03T15:00:00.000000000,3747.0,1750.02409
2020-01-03T16:00:00.000000000,2882.0,1618.32321
2020-01-03T17:00:00.000000000,1245.0,1613.31227
2020-01-03T18:00:00.000000000,1266.0,1537.14205
2020-01-03T19:00:00.000000000,1308.0,1347.75086
2020-01-03T20:00:00.000000000,1416.0,1194.95434
2020-01-03T21:00:00.000000000,1917.0,1394.86696
2020-01-03T22:00:00.000000000,3492.0,1750.8934
2020-01-03T23:00:00.000000000,3392.0,2113.09994
2020-01-04T00:00:00.000000000,2471.0,1946.28152
2020-01-04T01:00:00.000000000,1838.0,2069.59508
2020-01-04T02:00:00.000000000,1308.0,2052.00881
2020-01-04T03:00:00.000000000,989.0,1977.41957
2020-01-04T04:00:00.000000000,858.0,1837.60799
2020-01-04T05:00:00.000000000,861.0,1682.60514
2020-01-04T06:00:00.000000000,812.0,1631.17876
2020-01-04T07:00:00.000000000,883.0,1626.45625
2020-01-04T08:00:00.000000000,874.0,1581.05383
2020-01-04T09:00:00.000000000,825.0,1494.08997
2020-01-04T10:00:00.000000000,852.0,1514.01335
2020-01-04T11:00:00.000000000,1246.0,1722.82907
2020-01-04T12:00:00.000000000,1278.0,1885.77687
2020-01-04T13:00:00.000000000,1276.0,1924.88973
2020-01-04T14:00:00.000000000,1303.0,2060.31391
2020-01-04T15:00:00.000000000,1119.0,1892.85292
2020-01-04T16:00:00.000000000,1073.0,1705.16048
