datetime,oil_actual,avg_oil_production_forecast
2020-01-01T00:00:00.000000000,206.0,201.48204
2020-01-01T01:00:00.000000000,208.0,204.40466
2020-01-01T02:00:00.000000000,212.0,200.51015
2020-01-01T03:00:00.000000000,211.0,216.8955
2020-01-01T04:00:00.000000000,214.0,210.24306
2020-01-01T05:00:00.000000000,212.0,217.18582
2020-01-01T06:00:00.000000000,214.0,222.64249
2020-01-01T07:00:00.000000000,213.0,221.32621
2020-01-01T08:00:00.000000000,219.0,224.35265
2020-01-01T09:00:00.000000000,221.0,226.63721
2020-01-01T10:00:00.000000000,221.0,222.35472
2020-01-01T11:00:00.000000000,218.0,213.60854
2020-01-01T12:00:00.000000000,217.0,225.33537
2020-01-01T13:00:00.000000000,215.0,221.85657
2020-01-01T14:00:00.000000000,214.0,222.23645
2020-01-01T15:00:00.000000000,213.0,211.26683
2020-01-01T16:00:00.000000000,211.0,205.2562
2020-01-01T17:00:00.000000000,212.0,205.86952
2020-01-01T18:00:00.000000000,211.0,210.05406
2020-01-01T19:00:00.000000000,213.0,215.72049
2020-01-01T20:00:00.000000000,210.0,221.49059
2020-01-01T21:00:00.000000000,209.0,220.04431
2020-01-01T22:00:00.000000000,207.0,222.09026
2020-01-01T23:00:00.000000000,208.0,229.75465
2020-01-02T00:00:00.000000000,210.0,186.52667
2020-01-02T01:00:00.000000000,206.0,188.21418
2020-01-02T02:00:00.000000000,209.0,195.71921
2020-01-02T03:00:00.000000000,207.0,192.04658
2020-01-02T04:00:00.000000000,209.0,225.54441
2020-01-02T05:00:00.000000000,210.0,251.10392
2020-01-02T06:00:00.000000000,181.0,230.63696
2020-01-02T07:00:00.000000000,184.0,226.42806
2020-01-02T08:00:00.000000000,187.0,209.32474
2020-01-02T09:00:00.000000000,188.0,214.20014
2020-01-02T10:00:00.000000000,188.0,214.99813
2020-01-02T11:00:00.000000000,186.0,214.39509
2020-01-02T12:00:00.000000000,184.0,210.6022
2020-01-02T13:00:00.000000000,183.0,234.72316
2020-01-02T14:00:00.000000000,181.0,227.86957
2020-01-02T15:00:00.000000000,181.0,210.84292
2020-01-02T16:00:00.000000000,181.0,215.2214
2020-01-02T17:00:00.000000000,178.0,225.10295
2020-01-02T18:00:00.000000000,177.0,244.10566
2020-01-02T19:00:00.000000000,174.0,223.65287
2020-01-02T20:00:00.000000000,173.0,208.97777
2020-01-02T21:00:00.000000000,175.0,192.29413
2020-01-02T22:00:00.000000000,173.0,190.41891
2020-01-02T23:00:00.000000000,174.0,193.30777
2020-01-03T00:00:00.000000000,171.0,175.02493
2020-01-03T01:00:00.000000000,173.0,177.2443
2020-01-03T02:00:00.000000000,174.0,186.45774
2020-01-03T03:00:00.000000000,176.0,184.00188
2020-01-03T04:00:00.000000000,180.0,217.48308
2020-01-03T05:00:00.000000000,178.0,244.10243
2020-01-03T06:00:00.000000000,182.0,223.77233
2020-01-03T07:00:00.000000000,182.0,219.3283
2020-01-03T08:00:00.000000000,184.0,201.75805
2020-01-03T09:00:00.000000000,189.0,205.65851
2020-01-03T10:00:00.000000000,188.0,205.35028
2020-01-03T11:00:00.000000000,186.0,203.6219
2020-01-03T12:00:00.000000000,184.0,197.89449
2020-01-03T13:00:00.000000000,183.0,223.07972
2020-01-03T14:00:00.000000000,181.0,218.7478
2020-01-03T15:00:00.000000000,182.0,202.68792
2020-01-03T16:00:00.000000000,184.0,206.99023
2020-01-03T17:00:00.000000000,180.0,216.73992
2020-01-03T18:00:00.000000000,177.0,235.79417
2020-01-03T19:00:00.000000000,176.0,215.66884
2020-01-03T20:00:00.000000000,175.0,201.66169
2020-01-03T21:00:00.000000000,174.0,185.50836
2020-01-03T22:00:00.000000000,178.0,183.78396
2020-01-03T23:00:00.000000000,174.0,185.37904
2020-01-04T00:00:00.000000000,175.0,167.42863
2020-01-04T01:00:00.000000000,173.0,169.99925
2020-01-04T02:00:00.000000000,177.0,180.34102
2020-01-04T03:00:00.000000000,180.0,178.68876
2020-01-04T04:00:00.000000000,180.0,212.159
2020-01-04T05:00:00.000000000,183.0,239.47831
2020-01-04T06:00:00.000000000,184.0,219.23858
2020-01-04T07:00:00.000000000,187.0,214.63926
2020-01-04T08:00:00.000000000,189.0,196.76063
2020-01-04T09:00:00.000000000,188.0,200.01719
2020-01-04T10:00:00.000000000,188.0,198.97838
2020-01-04T11:00:00.000000000,187.0,196.50676
2020-01-04T12:00:00.000000000,185.0,189.50173
2020-01-04T13:00:00.000000000,183.0,215.38984
2020-01-04T14:00:00.000000000,183.0,212.72337
2020-01-04T15:00:00.000000000,181.0,197.30197
2020-01-04T16:00:00.000000000,180.0,201.55399
2020-01-04T17:00:00.000000000,180.0,211.21658
2020-01-04T18:00:00.000000000,178.0,230.30486
2020-01-04T19:00:00.000000000,177.0,210.39581
2020-01-04T20:00:00.000000000,175.0,196.82978
2020-01-04T21:00:00.000000000,175.0,181.0267
2020-01-04T22:00:00.000000000,174.0,179.40191
2020-01-04T23:00:00.000000000,172.0,180.14254
2020-01-02T00:00:00.000000000,210.0,197.38805
2020-01-02T01:00:00.000000000,206.0,199.47221
2020-01-02T02:00:00.000000000,209.0,196.83212
2020-01-02T03:00:00.000000000,207.0,212.58796
2020-01-02T04:00:00.000000000,209.0,205.82419
2020-01-02T05:00:00.000000000,210.0,212.67365
2020-01-02T06:00:00.000000000,181.0,216.74353
2020-01-02T07:00:00.000000000,184.0,217.86768
2020-01-02T08:00:00.000000000,187.0,219.68924
2020-01-02T09:00:00.000000000,188.0,221.72034
2020-01-02T10:00:00.000000000,188.0,216.98009
2020-01-02T11:00:00.000000000,186.0,210.22038
2020-01-02T12:00:00.000000000,184.0,220.43878
2020-01-02T13:00:00.000000000,183.0,216.66374
2020-01-02T14:00:00.000000000,181.0,215.51266
2020-01-02T15:00:00.000000000,181.0,205.45384
2020-01-02T16:00:00.000000000,181.0,199.34267
2020-01-02T17:00:00.000000000,178.0,200.59142
2020-01-02T18:00:00.000000000,177.0,203.9352
2020-01-02T19:00:00.000000000,174.0,209.7756
2020-01-02T20:00:00.000000000,173.0,215.85167
2020-01-02T21:00:00.000000000,175.0,213.8558
2020-01-02T22:00:00.000000000,173.0,216.99174
2020-01-02T23:00:00.000000000,174.0,224.01825
2020-01-03T00:00:00.000000000,171.0,181.26495
2020-01-03T01:00:00.000000000,173.0,183.19577
2020-01-03T02:00:00.000000000,174.0,191.48234
2020-01-03T03:00:00.000000000,176.0,188.36637
2020-01-03T04:00:00.000000000,180.0,221.85659
2020-01-03T05:00:00.000000000,178.0,247.90094
2020-01-03T06:00:00.000000000,182.0,227.49658
2020-01-03T07:00:00.000000000,182.0,223.18012
2020-01-03T08:00:00.000000000,184.0,205.8632
2020-01-03T09:00:00.000000000,189.0,210.29258
2020-01-03T10:00:00.000000000,188.0,210.58451
2020-01-03T11:00:00.000000000,186.0,209.46665
2020-01-03T12:00:00.000000000,184.0,204.78878
2020-01-03T13:00:00.000000000,183.0,229.39662
2020-01-03T14:00:00.000000000,181.0,223.69661
2020-01-03T15:00:00.000000000,182.0,207.11224
2020-01-03T16:00:00.000000000,184.0,211.45587
2020-01-03T17:00:00.000000000,180.0,221.27711
2020-01-03T18:00:00.000000000,177.0,240.30339
2020-01-03T19:00:00.000000000,176.0,220.0004
2020-01-03T20:00:00.000000000,175.0,205.63087
2020-01-03T21:00:00.000000000,174.0,189.18982
2020-01-03T22:00:00.000000000,178.0,187.38361
2020-01-03T23:00:00.000000000,174.0,189.6806
2020-01-04T00:00:00.000000000,175.0,171.59617
2020-01-04T01:00:00.000000000,173.0,173.97408
2020-01-04T02:00:00.000000000,177.0,183.69682
2020-01-04T03:00:00.000000000,180.0,181.60368
2020-01-04T04:00:00.000000000,180.0,215.07995
2020-01-04T05:00:00.000000000,183.0,242.01523
2020-01-04T06:00:00.000000000,184.0,221.72592
2020-01-04T07:00:00.000000000,187.0,217.21179
2020-01-04T08:00:00.000000000,189.0,199.50235
2020-01-04T09:00:00.000000000,188.0,203.11217
2020-01-04T10:00:00.000000000,188.0,202.47418
2020-01-04T11:00:00.000000000,187.0,200.41032
2020-01-04T12:00:00.000000000,185.0,194.10622
2020-01-04T13:00:00.000000000,183.0,219.60872
2020-01-04T14:00:00.000000000,183.0,216.02854
2020-01-04T15:00:00.000000000,181.0,200.25685
2020-01-04T16:00:00.000000000,180.0,204.53645
2020-01-04T17:00:00.000000000,180.0,214.24683
2020-01-04T18:00:00.000000000,178.0,233.31644
2020-01-04T19:00:00.000000000,177.0,213.28875
2020-01-04T20:00:00.000000000,175.0,199.4807
2020-01-04T21:00:00.000000000,175.0,183.48546
2020-01-04T22:00:00.000000000,174.0,181.80602
2020-01-04T23:00:00.000000000,172.0,183.01544
2020-01-05T00:00:00.000000000,172.0,155.65448
2020-01-05T01:00:00.000000000,171.0,158.76954
2020-01-05T02:00:00.000000000,173.0,170.8602
2020-01-05T03:00:00.000000000,177.0,170.45352
2020-01-05T04:00:00.000000000,179.0,203.90676
2020-01-05T05:00:00.000000000,180.0,232.31099
2020-01-05T06:00:00.000000000,182.0,212.21136
2020-01-05T07:00:00.000000000,186.0,207.37136
2020-01-05T08:00:00.000000000,186.0,189.01472
2020-01-05T09:00:00.000000000,188.0,191.27327
2020-01-05T10:00:00.000000000,188.0,189.10203
2020-01-05T11:00:00.000000000,187.0,185.47843
2020-01-05T12:00:00.000000000,185.0,176.49306
2020-01-05T13:00:00.000000000,184.0,203.47064
2020-01-05T14:00:00.000000000,184.0,203.38558
2020-01-05T15:00:00.000000000,182.0,188.95382
2020-01-05T16:00:00.000000000,182.0,193.12786
2020-01-05T17:00:00.000000000,180.0,202.65548
2020-01-05T18:00:00.000000000,178.0,221.79652
2020-01-05T19:00:00.000000000,177.0,202.2227
2020-01-05T20:00:00.000000000,174.0,189.34043
2020-01-05T21:00:00.000000000,176.0,174.08021
2020-01-05T22:00:00.000000000,174.0,172.60983
2020-01-05T23:00:00.000000000,173.0,172.02604
2020-01-03T00:00:00.000000000,171.0,170.67702
2020-01-03T01:00:00.000000000,173.0,168.96945
2020-01-03T02:00:00.000000000,174.0,169.22333
2020-01-03T03:00:00.000000000,176.0,181.84753
2020-01-03T04:00:00.000000000,180.0,175.1468
2020-01-03T05:00:00.000000000,178.0,180.08351
2020-01-03T06:00:00.000000000,182.0,179.49669
2020-01-03T07:00:00.000000000,182.0,189.88278
2020-01-03T08:00:00.000000000,184.0,186.64946
2020-01-03T09:00:00.000000000,189.0,189.22041
2020-01-03T10:00:00.000000000,188.0,183.46042
