datetime,other_actual,avg_other_production_forecast
2020-01-01T00:00:00.000000000,710.0,740.69965
2020-01-01T01:00:00.000000000,713.0,723.92069
2020-01-01T02:00:00.000000000,709.0,689.77826
2020-01-01T03:00:00.000000000,722.0,697.9694
2020-01-01T04:00:00.000000000,709.0,642.51591
2020-01-01T05:00:00.000000000,538.0,679.95495
2020-01-01T06:00:00.000000000,57.0,660.75036
2020-01-01T07:00:00.000000000,64.0,640.43649
2020-01-01T08:00:00.000000000,62.0,655.97833
2020-01-01T09:00:00.000000000,53.0,669.77011
2020-01-01T10:00:00.000000000,54.0,710.73773
2020-01-01T11:00:00.000000000,39.0,720.7113
2020-01-01T12:00:00.000000000,40.0,698.82501
2020-01-01T13:00:00.000000000,60.0,715.144
2020-01-01T14:00:00.000000000,50.0,735.91754
2020-01-01T15:00:00.000000000,57.0,773.37824
2020-01-01T16:00:00.000000000,64.0,770.58214
2020-01-01T17:00:00.000000000,67.0,791.91379
2020-01-01T18:00:00.000000000,78.0,775.68529
2020-01-01T19:00:00.000000000,82.0,801.8065
2020-01-01T20:00:00.000000000,81.0,793.08871
2020-01-01T21:00:00.000000000,79.0,783.18385
2020-01-01T22:00:00.000000000,85.0,778.28259
2020-01-01T23:00:00.000000000,89.0,789.60345
2020-01-02T00:00:00.000000000,89.0,661.75002
2020-01-02T01:00:00.000000000,88.0,678.56395
2020-01-02T02:00:00.000000000,90.0,684.74946
2020-01-02T03:00:00.000000000,87.0,666.38454
2020-01-02T04:00:00.000000000,88.0,701.93418
2020-01-02T05:00:00.000000000,90.0,686.5132
2020-01-02T06:00:00.000000000,564.0,669.85315
2020-01-02T07:00:00.000000000,556.0,706.65738
2020-01-02T08:00:00.000000000,544.0,719.31889
2020-01-02T09:00:00.000000000,551.0,722.95872
2020-01-02T10:00:00.000000000,561.0,738.04274
2020-01-02T11:00:00.000000000,559.0,737.10303
2020-01-02T12:00:00.000000000,558.0,731.17513
2020-01-02T13:00:00.000000000,540.0,775.9969
2020-01-02T14:00:00.000000000,554.0,775.32316
2020-01-02T15:00:00.000000000,559.0,744.87043
2020-01-02T16:00:00.000000000,562.0,785.89882
2020-01-02T17:00:00.000000000,571.0,774.17193
2020-01-02T18:00:00.000000000,576.0,779.48647
2020-01-02T19:00:00.000000000,559.0,760.03252
2020-01-02T20:00:00.000000000,553.0,756.14072
2020-01-02T21:00:00.000000000,560.0,747.94778
2020-01-02T22:00:00.000000000,561.0,753.71517
2020-01-02T23:00:00.000000000,554.0,747.47885
2020-01-03T00:00:00.000000000,543.0,648.68797
2020-01-03T01:00:00.000000000,540.0,667.91894
2020-01-03T02:00:00.000000000,559.0,676.52718
2020-01-03T03:00:00.000000000,561.0,660.36558
2020-01-03T04:00:00.000000000,565.0,697.0228
2020-01-03T05:00:00.000000000,563.0,682.90121
2020-01-03T06:00:00.000000000,564.0,666.60119
2020-01-03T07:00:00.000000000,564.0,702.77972
2020-01-03T08:00:00.000000000,567.0,713.96073
2020-01-03T09:00:00.000000000,632.0,716.61709
2020-01-03T10:00:00.000000000,791.0,730.13055
2020-01-03T11:00:00.000000000,856.0,727.30071
2020-01-03T12:00:00.000000000,934.0,719.33711
2020-01-03T13:00:00.000000000,931.0,761.84581
2020-01-03T14:00:00.000000000,936.0,759.61173
2020-01-03T15:00:00.000000000,939.0,727.17381
2020-01-03T16:00:00.000000000,931.0,767.6976
2020-01-03T17:00:00.000000000,938.0,756.394
2020-01-03T18:00:00.000000000,933.0,761.92333
2020-01-03T19:00:00.000000000,939.0,742.65952
2020-01-03T20:00:00.000000000,935.0,738.92308
2020-01-03T21:00:00.000000000,938.0,731.81519
2020-01-03T22:00:00.000000000,936.0,738.80274
2020-01-03T23:00:00.000000000,934.0,734.59753
2020-01-04T00:00:00.000000000,944.0,635.7349
2020-01-04T01:00:00.000000000,942.0,657.36274
2020-01-04T02:00:00.000000000,972.0,668.37349
2020-01-04T03:00:00.000000000,680.0,654.39682
2020-01-04T04:00:00.000000000,590.0,692.15241
2020-01-04T05:00:00.000000000,565.0,679.31937
2020-01-04T06:00:00.000000000,588.0,663.37635
2020-01-04T07:00:00.000000000,594.0,698.93443
2020-01-04T08:00:00.000000000,595.0,708.6473
2020-01-04T09:00:00.000000000,588.0,710.3284
2020-01-04T10:00:00.000000000,584.0,722.28434
2020-01-04T11:00:00.000000000,577.0,717.58017
2020-01-04T12:00:00.000000000,577.0,707.59784
2020-01-04T13:00:00.000000000,582.0,747.81281
2020-01-04T14:00:00.000000000,582.0,744.03141
2020-01-04T15:00:00.000000000,582.0,709.62488
2020-01-04T16:00:00.000000000,571.0,749.64826
2020-01-04T17:00:00.000000000,584.0,738.76443
2020-01-04T18:00:00.000000000,695.0,744.50672
2020-01-04T19:00:00.000000000,839.0,725.43148
2020-01-04T20:00:00.000000000,936.0,721.84912
2020-01-04T21:00:00.000000000,962.0,715.81724
2020-01-04T22:00:00.000000000,952.0,724.01477
2020-01-04T23:00:00.000000000,946.0,721.82367
2020-01-02T00:00:00.000000000,89.0,490.53043
2020-01-02T01:00:00.000000000,88.0,529.0154
2020-01-02T02:00:00.000000000,90.0,507.86769
2020-01-02T03:00:00.000000000,87.0,492.0343
2020-01-02T04:00:00.000000000,88.0,477.45987
2020-01-02T05:00:00.000000000,90.0,536.45416
2020-01-02T06:00:00.000000000,564.0,577.39417
2020-01-02T07:00:00.000000000,556.0,499.61444
2020-01-02T08:00:00.000000000,544.0,561.44941
2020-01-02T09:00:00.000000000,551.0,565.1827
2020-01-02T10:00:00.000000000,561.0,549.6166
2020-01-02T11:00:00.000000000,559.0,546.2808
2020-01-02T12:00:00.000000000,558.0,561.95589
2020-01-02T13:00:00.000000000,540.0,539.31023
2020-01-02T14:00:00.000000000,554.0,540.1281
2020-01-02T15:00:00.000000000,559.0,556.36786
2020-01-02T16:00:00.000000000,562.0,578.0769
2020-01-02T17:00:00.000000000,571.0,567.5767
2020-01-02T18:00:00.000000000,576.0,537.1521
2020-01-02T19:00:00.000000000,559.0,558.27
2020-01-02T20:00:00.000000000,553.0,546.87146
2020-01-02T21:00:00.000000000,560.0,534.92926
2020-01-02T22:00:00.000000000,561.0,545.19977
2020-01-02T23:00:00.000000000,554.0,579.91437
2020-01-03T00:00:00.000000000,543.0,572.50152
2020-01-03T01:00:00.000000000,540.0,605.8302
2020-01-03T02:00:00.000000000,559.0,628.56941
2020-01-03T03:00:00.000000000,561.0,625.25903
2020-01-03T04:00:00.000000000,565.0,668.37644
2020-01-03T05:00:00.000000000,563.0,661.8338
2020-01-03T06:00:00.000000000,564.0,647.63361
2020-01-03T07:00:00.000000000,564.0,680.16268
2020-01-03T08:00:00.000000000,567.0,682.70848
2020-01-03T09:00:00.000000000,632.0,679.62866
2020-01-03T10:00:00.000000000,791.0,683.98139
2020-01-03T11:00:00.000000000,856.0,670.12709
2020-01-03T12:00:00.000000000,934.0,650.28989
2020-01-03T13:00:00.000000000,931.0,679.30747
2020-01-03T14:00:00.000000000,936.0,667.97243
2020-01-03T15:00:00.000000000,939.0,623.95568
2020-01-03T16:00:00.000000000,931.0,661.5363
2020-01-03T17:00:00.000000000,938.0,652.70164
2020-01-03T18:00:00.000000000,933.0,659.48354
2020-01-03T19:00:00.000000000,939.0,641.32891
2020-01-03T20:00:00.000000000,935.0,638.4986
2020-01-03T21:00:00.000000000,938.0,637.71947
2020-01-03T22:00:00.000000000,936.0,651.82375
2020-01-03T23:00:00.000000000,934.0,659.46525
2020-01-04T00:00:00.000000000,944.0,581.80997
2020-01-04T01:00:00.000000000,942.0,613.41621
2020-01-04T02:00:00.000000000,972.0,634.42889
2020-01-04T03:00:00.000000000,680.0,629.54835
2020-01-04T04:00:00.000000000,590.0,671.87645
2020-01-04T05:00:00.000000000,565.0,664.40782
2020-01-04T06:00:00.000000000,588.0,649.95106
2020-01-04T07:00:00.000000000,594.0,682.92604
2020-01-04T08:00:00.000000000,595.0,686.52689
2020-01-04T09:00:00.000000000,588.0,684.14791
2020-01-04T10:00:00.000000000,584.0,689.6199
2020-01-04T11:00:00.000000000,577.0,677.11256
2020-01-04T12:00:00.000000000,577.0,658.72609
2020-01-04T13:00:00.000000000,582.0,689.392
2020-01-04T14:00:00.000000000,582.0,679.16891
2020-01-04T15:00:00.000000000,582.0,636.56687
2020-01-04T16:00:00.000000000,571.0,674.50709
2020-01-04T17:00:00.000000000,584.0,665.37077
2020-01-04T18:00:00.000000000,695.0,671.99964
2020-01-04T19:00:00.000000000,839.0,653.70947
2020-01-04T20:00:00.000000000,936.0,650.76845
2020-01-04T21:00:00.000000000,962.0,649.21608
2020-01-04T22:00:00.000000000,952.0,662.45084
2020-01-04T23:00:00.000000000,946.0,668.64491
2020-01-05T00:00:00.000000000,942.0,576.87598
2020-01-05T01:00:00.000000000,943.0,609.3952
2020-01-05T02:00:00.000000000,898.0,631.32304
2020-01-05T03:00:00.000000000,898.0,627.27477
2020-01-05T04:00:00.000000000,693.0,670.02125
2020-01-05T05:00:00.000000000,596.0,663.04345
2020-01-05T06:00:00.000000000,558.0,648.7227
2020-01-05T07:00:00.000000000,556.0,681.46131
2020-01-05T08:00:00.000000000,542.0,684.50291
2020-01-05T09:00:00.000000000,536.0,681.75245
2020-01-05T10:00:00.000000000,554.0,686.63116
2020-01-05T11:00:00.000000000,539.0,673.40987
2020-01-05T12:00:00.000000000,539.0,654.25443
2020-01-05T13:00:00.000000000,534.0,684.04663
2020-01-05T14:00:00.000000000,523.0,673.23416
2020-01-05T15:00:00.000000000,530.0,629.88224
2020-01-05T16:00:00.000000000,516.0,667.63186
2020-01-05T17:00:00.000000000,521.0,658.65543
2020-01-05T18:00:00.000000000,642.0,665.3654
2020-01-05T19:00:00.000000000,775.0,647.14708
2020-01-05T20:00:00.000000000,817.0,644.26475
2020-01-05T21:00:00.000000000,892.0,643.12225
2020-01-05T22:00:00.000000000,914.0,656.8179
2020-01-05T23:00:00.000000000,900.0,663.77917
2020-01-03T00:00:00.000000000,543.0,639.99159
2020-01-03T01:00:00.000000000,540.0,619.97201
2020-01-03T02:00:00.000000000,559.0,607.2381
2020-01-03T03:00:00.000000000,561.0,620.0749
2020-01-03T04:00:00.000000000,565.0,573.41534
2020-01-03T05:00:00.000000000,563.0,610.9366
2020-01-03T06:00:00.000000000,564.0,598.407
2020-01-03T07:00:00.000000000,564.0,592.0852
2020-01-03T08:00:00.000000000,567.0,594.2011
2020-01-03T09:00:00.000000000,632.0,606.70123
2020-01-03T10:00:00.000000000,791.0,631.90389
2020-01-03T11:00:00.000000000,856.0,663.84261
2020-01-03T12:00:00.000000000,934.0,647.15879
2020-01-03T13:00:00.000000000,931.0,667.598
2020-01-03T14:00:00.000000000,936.0,653.27435
2020-01-03T15:00:00.000000000,939.0,697.38525
2020-01-03T16:00:00.000000000,931.0,675.65959
2020-01-03T17:00:00.000000000,938.0,710.0924
2020-01-03T18:00:00.000000000,933.0,688.4904
2020-01-03T19:00:00.000000000,939.0,688.20264
2020-01-03T20:00:00.000000000,935.0,701.78961
2020-01-03T21:00:00.000000000,938.0,690.50353
2020-01-03T22:00:00.000000000,936.0,689.10449
2020-01-03T23:00:00.000000000,934.0,671.03809
2020-01-04T00:00:00.000000000,944.0,590.03356
2020-01-04T01:00:00.000000000,942.0,620.11806
2020-01-04T02:00:00.000000000,972.0,639.60546
2020-01-04T03:00:00.000000000,680.0,633.33775
2020-01-04T04:00:00.000000000,590.0,674.96855
2020-01-04T05:00:00.000000000,565.0,666.68185
2020-01-04T06:00:00.000000000,588.0,651.99842
2020-01-04T07:00:00.000000000,594.0,685.36731
2020-01-04T08:00:00.000000000,595.0,689.90025
2020-01-04T09:00:00.000000000,588.0,688.14045
2020-01-04T10:00:00.000000000,584.0,694.60125
2020-01-04T11:00:00.000000000,577.0,683.28389
2020-01-04T12:00:00.000000000,577.0,666.17906
2020-01-04T13:00:00.000000000,582.0,698.3012
